Email Number,Date Requested,Date Received,Requestor,Request Description,Succesful,Of interest,Tags
273,9/1/2009,10/12/2009,Laura Marcinek,"Chancellor Holden Thorp's emails related to Courtland Smith, both those he has receive and sent.",Yes,,Emails
269,9/17/2009,1/12/2010,Brian Austin,E-mails to and from the Assistant Dean of Students for Fraternity and Sorority Life in official conduct of the job.,Yes,,Emails
270,11/19/2009,12/4/2009,Laura Marcinek,"Plane manifest and destinations for the following University officials using aircraft owned by the University of North Carolina: Chancellor Holden Thorp, Director of Athletics Dick Baddour, men's basketball head coach Roy Williams, and football head coach Butch Davis. (Records from July 1, 2008 to the present.)",Yes,,"Sports, Records"
268,11/19/2009,1/22/2010,Laura Marcinek,"Travel records and travel expenses for Dick Baddour, Roy Williams and Butch Davis",Yes,,"Sports, Records"
267,1/22/2010,1/29/2010,Kevin Kiley,Copies of the contracts for the last 3-4 executive vice chancellors and provosts.,Yes,,Contracts
260,3/18/2010,3/29/2010,Brian Austin,A copy of the chancellor's discretionary budget,Yes,,Money
262,3/23/2010,3/24/2010,Evan Rose,Telephone log created by Jenny Levering and a portion of the printed telephone log invoices for both her University cellular telephone and her personal cellular telephone.,Yes,,Phone Calls
261,3/25/2010,,Evan Rose,E-mail between Chancellor Holden Thorp and the Smith (Pharr and Susan) family.,Denied,"Denied, ""The University has not identified any public documents responsive to your request.""",Emails
258,3/26/2010,4/1/2010,Ryan Barber,A copy of the current Aramark contract and any other contracts the University has had with dining companies like Aramark.,Yes,,Contracts
257,8/16/2010,8/16/2010,Jonathan Jones,The email sent to the University of North Carolina from the NCAA regarding when investigators would be on campus (July 12 and 13). ,Yes,,"Sports, Emails, Basketball"
255,8/26/2010,,Jonathan Jones,"E-mail correspondence between the University and the NCAA since Aug. 15, 2010.",Denied,"Denied, ""There are no additional public records to provide to you at this time""","Sports, Emails, Basketball"
253,9/7/2010,9/8/2010,Jonathan Jones,Phone records of former UNC football associate head coach John Blake's university-issued cell phone from Nov. 1 until Sept. 5 (the day of his resignation). ,Yes,Received in disk form.,"Sports, Football, Phone Calls"
252,9/7/2010,9/9/2010,Sara Gregory,"The end-of-semester evaluation/feedback forms filled out since Jan 1, 2009 by all current and former UNC tutors and mentors who worked with student-athletes on the football, basketball, men and women's soccer teams and track and field teams. Names, employment dates and salaries of all the individuals currently or previously employed by the University as either academic tutors or mentors since Jan. 1, 2007",Partially,Names/Salaries were not received and wasn't explained why.,Sports
225,9/7/2010,11/11/2010,Jonathan Jones,Phone Records for football coach John Blake,Yes,no,"Sports, Football, Phone Calls"
215,9/7/2010,12/3/2010,Jonathan Jones,Additional phone records of John Blake,Yes,no,"Sports, Football, Phone Calls"
213,9/7/2010,12/3/2010,Sara Gregory,"Employee or tutor list for each academic year since January 1, 2007",Yes,no,"Sports, Money"
247,9/8/2010,9/16/2010,Jonathan Jones,University phone records for Butch Davis.,Yes,,"Sports, Football, Phone Calls"
206,9/8/2010,2/3/2011,Jonathan Jones,Additional phone records of John Blake,Yes,no,"Sports, Football, Phone Calls"
235,9/10/2010,10/4/2010,Sara Gregory,"All records requested from University by any third party (including but not limited to news organizations, freelance journalists, private citizens) since June 1, 2010. All records provided to the NCAA by the University since March 1, 2010.",Yes,"Gave a disk, the first request was sent on 9/10/10 from Sara with all the *, she kept following up and each record was made available at different dates. Not all were made available to her. ","Sports, Football"
